timestamp,scenario,id,name,lat,lng,zone,slope_deg,altitude_m,rainfall_mm_hr,river_level_m,soil_saturation,historical_incident_density,population_exposure,registered_population,tourist_population,elderly_fraction,children_fraction
2025-07-15T06:00:00,normal,upstream_01,Glacier View Station,33.45,75.6,upstream,38,3200,2.72,0.68,0.0311,2.1,0.05,200,50,0.08,0.15
2025-07-15T06:00:00,normal,upstream_02,Pine Ridge Outpost,33.43,75.63,upstream,35,3050,2.53,0.67,0.0279,3.0,0.09,350,100,0.1,0.18
2025-07-15T06:00:00,normal,upstream_03,Eagle Cliff Village,33.41,75.58,upstream,42,3400,4.53,0.7,0.0,4.5,0.03,120,30,0.12,0.2
2025-07-15T06:00:00,normal,upstream_04,Snowmelt Creek Base,33.44,75.65,upstream,30,2900,2.07,0.58,0.0469,1.8,0.072,280,80,0.09,0.16
2025-07-15T06:00:00,normal,midvalley_01,Valley Temple Town,33.38,75.68,midvalley,22,2400,0,0.47,0.0555,5.2,0.46,1800,500,0.12,0.22
2025-07-15T06:00:00,normal,midvalley_02,Bridge Market Colony,33.36,75.71,midvalley,18,2200,0.47,0.47,0.1177,6.1,0.56,2500,300,0.14,0.2
2025-07-15T06:00:00,normal,midvalley_03,River Bend Settlement,33.37,75.66,midvalley,25,2300,0,0.49,0.1043,7.3,0.22,900,200,0.11,0.19
2025-07-15T06:00:00,normal,midvalley_04,Pilgrim Rest Camp,33.35,75.73,midvalley,15,2100,2.63,0.54,0.1044,3.8,0.52,600,2000,0.06,0.1
2025-07-15T06:00:00,normal,downstream_01,Riverside Colony,33.31,75.77,downstream,10,1800,1.97,0.57,0.1329,8.0,0.92,4200,400,0.15,0.25
2025-07-15T06:00:00,normal,downstream_02,Lower Falls Township,33.3,75.8,downstream,8,1700,0.55,0.48,0.1558,6.5,1.15,5500,250,0.16,0.24
2025-07-15T06:00:00,normal,downstream_03,Delta Market Village,33.29,75.75,downstream,12,1850,5.45,0.59,0.1561,5.0,0.63,3000,150,0.13,0.21
2025-07-15T06:00:00,normal,downstream_04,Flood Plain Hamlet,33.28,75.82,downstream,5,1600,3.39,0.59,0.1608,9.2,0.46,2200,100,0.18,0.23
2025-07-15T06:15:00,normal,upstream_01,Glacier View Station,33.45,75.6,upstream,38,3200,0,0.54,0.0139,2.1,0.05,200,50,0.08,0.15
2025-07-15T06:15:00,normal,upstream_02,Pine Ridge Outpost,33.43,75.63,upstream,35,3050,0.39,0.5,0.0239,3.0,0.09,350,100,0.1,0.18
2025-07-15T06:15:00,normal,upstream_03,Eagle Cliff Village,33.41,75.58,upstream,42,3400,0,0.48,0.0,4.5,0.03,120,30,0.12,0.2
2025-07-15T06:15:00,normal,upstream_04,Snowmelt Creek Base,33.44,75.65,upstream,30,2900,2.16,0.48,0.0634,1.8,0.072,280,80,0.09,0.16
2025-07-15T06:15:00,normal,midvalley_01,Valley Temple Town,33.38,75.68,midvalley,22,2400,0.69,0.49,0.0844,5.2,0.46,1800,500,0.12,0.22
2025-07-15T06:15:00,normal,midvalley_02,Bridge Market Colony,33.36,75.71,midvalley,18,2200,1.26,0.58,0.1344,6.1,0.56,2500,300,0.14,0.2
2025-07-15T06:15:00,normal,midvalley_03,River Bend Settlement,33.37,75.66,midvalley,25,2300,0,0.52,0.0688,7.3,0.22,900,200,0.11,0.19
2025-07-15T06:15:00,normal,midvalley_04,Pilgrim Rest Camp,33.35,75.73,midvalley,15,2100,1.99,0.54,0.1214,3.8,0.52,600,2000,0.06,0.1
2025-07-15T06:15:00,normal,downstream_01,Riverside Colony,33.31,75.77,downstream,10,1800,0,0.54,0.1261,8.0,0.92,4200,400,0.15,0.25
